"","x"
"1","https://www.nytimes.com/2019/04/12/opinion/mueller-report-barr.html"
"2","https://www.nytimes.com/2019/04/08/opinion/subpoena-mueller-report-intelligence-.html"
"3","https://www.nytimes.com/2019/04/04/us/politics/barr-summary-mueller.html"
"4","https://www.nytimes.com/2019/04/04/podcasts/the-daily/mueller-report-barr-summary.html"
"5","https://www.nytimes.com/2019/04/09/us/politics/william-barr-testimony.html"
"6","https://www.nytimes.com/2019/04/07/us/politics/barr-redactions-mueller-report.html"
"7","https://www.nytimes.com/2019/04/09/us/politics/barr-redacted-mueller-report.html"
"8","https://www.nytimes.com/2019/04/14/us/politics/trump-mueller-report.html"
"9","https://www.nytimes.com/aponline/2019/04/11/us/politics/ap-us-trump-russia-probe-barr-the-latest.html"
"10","https://www.nytimes.com/aponline/2019/04/11/us/politics/ap-us-trump-russia-probe-barr.html"
"11","https://www.nytimes.com/reuters/2019/04/14/us/politics/14reuters-usa-trump-russia-conspiracy-analysis.html"
"12","https://www.nytimes.com/reuters/2019/04/09/world/europe/09reuters-usa-trump-russia-week.html"
"13","https://www.nytimes.com/reuters/2019/04/06/us/politics/06reuters-usa-trump-mueller.html"
"14","https://www.nytimes.com/aponline/2019/04/12/us/politics/ap-us-trump-russia-probe-stone.html"
"15","https://www.nytimes.com/reuters/2019/04/09/world/europe/09reuters-usa-trump-russia-barr.html"
"16","https://www.nytimes.com/reuters/2019/04/08/world/europe/08reuters-usa-trump-russia-report-factbox.html"
"17","https://www.nytimes.com/reuters/2019/04/12/world/europe/12reuters-usa-trump-russia-craig.html"
"18","https://www.nytimes.com/aponline/2019/04/11/world/europe/ap-eu-russia-us.html"
"19","https://www.nytimes.com/reuters/2019/04/08/us/politics/08reuters-usa-trump-russia.html"
"20","https://www.nytimes.com/reuters/2019/04/11/world/europe/11reuters-usa-trump-russia-redactions-explainer.html"
"21","https://www.nytimes.com/reuters/2019/04/04/world/europe/04reuters-usa-trump-russia.html"
"22","https://www.nytimes.com/reuters/2019/04/10/world/europe/10reuters-usa-trump-russia-pelosi.html"
"23","https://www.nytimes.com/reuters/2019/04/04/world/europe/04reuters-usa-trump-russia-demonstrations.html"
"24","https://www.nytimes.com/reuters/2019/04/10/world/europe/10reuters-usa-trump-russia-probe.html"
"25","https://www.nytimes.com/reuters/2019/04/10/us/politics/10reuters-usa-trump-russia-report.html"
"26","https://www.nytimes.com/reuters/2019/04/08/us/politics/08reuters-usa-trump-russia-vote.html"
"27","https://www.nytimes.com/reuters/2019/04/09/world/europe/09reuters-russia-arctic-forum-putin-trump.html"
"28","https://www.nytimes.com/2019/04/04/briefing/boeing-robert-mueller-measles.html"
"29","https://www.nytimes.com/reuters/2019/04/08/us/politics/08reuters-usa-trump-russia-subpoena-explainer.html"
"30","https://www.nytimes.com/2019/04/10/us/politics/ex-obama-counsel-expects-to-be-charged-soon-in-mueller-related-case.html"
"31","https://www.nytimes.com/reuters/2019/04/09/world/europe/09reuters-usa-trump-russia-attorneygeneral-newsmaker.html"
"32","https://www.nytimes.com/reuters/2019/04/08/world/europe/08reuters-usa-trump-russia-nadler.html"
"33","https://www.nytimes.com/reuters/2019/04/07/us/politics/07reuters-usa-trump-russia-nadler.html"
"34","https://www.nytimes.com/reuters/2019/04/04/world/europe/04reuters-usa-trump-russia-nadler.html"
"35","https://www.nytimes.com/2019/04/08/world/europe/brexit-corbyn-theresa-may-compromise.html"
"36","https://www.nytimes.com/2019/04/07/world/europe/theresa-may-brexit-compromise.html"
"37","https://www.nytimes.com/video/us/politics/100000006451373/barr-mueller-report.html"
"38","https://www.nytimes.com/reuters/2019/04/03/world/europe/03reuters-usa-trump-russia-findings.html"
"39","https://www.nytimes.com/2019/04/10/us/politics/barr-mueller-report.html"
"40","https://www.nytimes.com/2019/04/11/us/politics/gregory-craig-indictment.html"
"41","https://www.nytimes.com/2019/04/04/us/politics/mueller-report-barr.html"
"42","https://www.nytimes.com/reuters/2019/04/11/world/europe/11reuters-usa-trump-russia-craig.html"
"43","https://www.nytimes.com/2019/04/07/briefing/mueller-report-fed-mindfulness.html"
"44",""
"45","https://www.nytimes.com/2019/04/05/world/europe/brexit-extension-theresa-may.html"
"46","https://www.nytimes.com/2019/04/10/us/politics/william-barr-jeffrey-rosen-hearings.html"
"47","https://www.nytimes.com/2019/04/11/us/politics/julian-assange-wikileaks-russia.html"
"48","https://www.nytimes.com/2019/04/05/arts/television/stephen-colbert-barr-letter.html"
"49","https://www.nytimes.com/2019/04/12/us/politics/samuel-patten-lobbyist-sentenced.html"
"50","https://www.nytimes.com/reuters/2019/04/09/world/europe/09reuters-usa-trump-russia-cases-factbox.html"
"51","https://www.nytimes.com/aponline/2019/04/10/us/politics/ap-us-deputy-attorney-general.html"
"52","https://www.nytimes.com/reuters/2019/04/10/world/europe/10reuters-usa-trump-russia-obstruction-explainer.html"
"53","https://www.nytimes.com/reuters/2019/04/08/us/politics/08reuters-usa-trump-russia-subpoenas.html"
"54","https://www.nytimes.com/reuters/2019/04/08/world/europe/08reuters-usa-trump-russia-patten.html"
"55","https://www.nytimes.com/reuters/2019/04/10/world/europe/10reuters-usa-trump-russia-barr.html"
"56","https://www.nytimes.com/reuters/2019/04/10/us/politics/10reuters-usa-trump-russia-syping.html"
"57","https://www.nytimes.com/aponline/2019/04/12/us/politics/ap-us-trump-russia-probe-lobbying-the-latest.html"
"58","https://www.nytimes.com/aponline/2019/04/11/us/politics/ap-us-wikileaks-assange-arrested-takeaways.html"
"59","https://www.nytimes.com/reuters/2019/04/10/world/europe/10reuters-usa-trump-russia-craig.html"
"60","https://www.nytimes.com/reuters/2019/04/12/world/europe/12reuters-usa-trump-russia-patten.html"
"61","https://www.nytimes.com/reuters/2019/04/11/business/11reuters-swiss-espionage-germans.html"
"62","https://www.nytimes.com/aponline/2019/04/13/us/politics/ap-us-fact-check-week.html"
"63","https://www.nytimes.com/aponline/2019/04/12/us/politics/ap-us-trump-russia-probe-foreign-lobbying.html"
"64","https://www.nytimes.com/aponline/2019/04/11/us/politics/ap-us-trump-russia-probe-lobbyist.html"
"65","https://www.nytimes.com/aponline/2019/04/09/sports/soccer/bc-soc-mls-rapids-orlando-city.html"
"66","https://www.nytimes.com/2019/04/10/us/politics/barr-trump-campaign-spying.html"
"67","https://www.nytimes.com/2019/04/14/world/middleeast/isis-aid-worker.html"
"68","https://www.nytimes.com/2019/04/11/us/politics/comey-trump.html"
"69","https://www.nytimes.com/reuters/2019/04/11/world/11reuters-ecuador-assange-usa-conspiracy.html"
"70","https://www.nytimes.com/reuters/2019/04/11/world/11reuters-ecuador-assange-usa-charge.html"
"71","https://www.nytimes.com/reuters/2019/04/10/sports/soccer/10reuters-soccer-germany-grindel.html"
"72","https://www.nytimes.com/2019/04/12/us/politics/gregory-craig-pleads-not-guilty.html"
"73","https://www.nytimes.com/aponline/2019/04/11/us/politics/ap-wikileaks-assange-arrested-trump.html"
"74","https://www.nytimes.com/reuters/2019/04/14/sports/soccer/14reuters-soccer-germany-dus-bay-report.html"
"75","https://www.nytimes.com/2019/04/09/us/politics/donald-trump-video.html"
"76","https://www.nytimes.com/aponline/2019/04/11/us/politics/ap-us-trump-russia-probe-foreign-lobbying.html"
"77","https://www.nytimes.com/2019/04/05/podcasts/daily-newsletter-radio-stuyvesant-caro.html"
"78","https://www.nytimes.com/reuters/2019/04/06/sports/soccer/06reuters-soccer-germany-bay-dor-report.html"
"79","https://www.nytimes.com/2019/04/09/us/politics/russia-investigation-barr.html"
"80","https://www.nytimes.com/2019/04/10/us/politics/trump-immigration-asylum.html"
"81","https://www.nytimes.com/2019/04/04/briefing/rupert-murdoch-trump-tax-returns-mueller.html"
"82","https://www.nytimes.com/2019/04/07/arts/television/saturday-night-live-kit-harington-sara-bareilles-jason-sudeikis-joe-biden-game-of-thrones.html"
"83","https://www.nytimes.com/2019/04/08/us/masters-augusta-strip-clubs.html"
"84","https://www.nytimes.com/aponline/2019/04/12/us/politics/ap-us-trump-russia-probe-lobbying.html"
"85","https://www.nytimes.com/2019/04/11/briefing/-julian-assange-sudan-black-hole.html"
"86","https://www.nytimes.com/2019/04/10/briefing/israel-trump-russia-investigation-pakistan.html"
"87","https://www.nytimes.com/2019/04/10/arts/television/fallon-meyers-joe-biden.html"
"88","https://www.nytimes.com/interactive/2019/04/09/learning/09Weekly-News-Quiz-for-Students.html"
"89","https://www.nytimes.com/2019/04/09/arts/television/kirstjen-nielsen-colbert-kimmel-fallon.html"
"90","https://www.nytimes.com/2019/04/04/world/australia/election-voting-issues.html"
