"","x"
"1","https://www.nytimes.com/2018/12/15/us/politics/special-counsel-subpoena.html"
"2","https://www.nytimes.com/2018/12/01/opinion/sunday/robert-mueller-trump-manafort-corsi-report.html"
"3","https://www.nytimes.com/2018/12/10/opinion/letters/trump-kelly-mueller.html"
"4","https://www.nytimes.com/2018/12/20/us/politics/barr-whitaker-mueller-trump.html"
"5","https://www.nytimes.com/2018/12/01/us/politics/trump-mueller-lying.html"
"6","https://www.nytimes.com/2018/12/14/us/politics/michael-flynn-fbi-donald-trump.html"
"7","https://www.nytimes.com/2018/12/09/arts/television/saturday-night-live-robert-de-niro-jason-momoa.html"
"8","https://www.nytimes.com/2018/12/28/world/europe/darts-world-championship-celebration-fartgate.html"
"9","https://www.nytimes.com/2018/12/06/world/europe/brexit-sunderland-nissan-may.html"
"10","https://www.nytimes.com/2018/12/05/world/middleeast/uk-student-matthew-hedges-emirates-spy-released.html"
"11","https://www.nytimes.com/2018/12/09/us/james-comey-testimony-transcript.html"
"12","https://www.nytimes.com/2018/12/19/world/europe/jeremy-corbyn-theresa-may-stupid-woman.html"
"13","https://www.nytimes.com/2018/12/13/world/europe/theresa-may-no-confidence-vote.html"
"14","https://www.nytimes.com/2018/12/10/world/nadia-murad-denis-mukwege-nobel-peace-prize.html"
"15","https://www.nytimes.com/2018/12/07/us/politics/manafort-special-counsel-lies.html"
"16","https://www.nytimes.com/2018/12/04/us/politics/michael-flynn-special-counsel-sentencing-memo.html"
"17","https://www.nytimes.com/2018/12/08/opinion/trump-cohen-manafort-obstruction.html"
"18","https://www.nytimes.com/2018/12/12/world/europe/uk-theresa-may-leadership-contenders.html"
"19","https://www.nytimes.com/2018/12/09/world/europe/brexit-protest-london.html"
"20","https://www.nytimes.com/2018/12/21/world/europe/gatwick-airport-reopens-drone.html"
"21","https://www.nytimes.com/2018/12/20/business/drones-airports-gatwick.html"
"22","https://www.nytimes.com/2018/12/22/world/europe/gatwick-airport-drones-arrest.html"
"23","https://www.nytimes.com/2018/12/12/opinion/mueller-indict-trump.html"
"24","https://www.nytimes.com/2018/12/18/us/politics/mystery-witness-corporation-robert-mueller.html"
"25","https://www.nytimes.com/2018/12/27/opinion/democrats-house-of-representatives-trump.html"
"26","https://www.nytimes.com/2018/12/05/us/politics/michael-flynn-turkey-investigation-virginia.html"
"27","https://www.nytimes.com/2018/12/05/opinion/michael-flynn-robert-mueller-trump-sentencing.html"
"28","https://www.nytimes.com/2018/12/08/us/politics/trump-mueller-cohen-manafort.html"
"29","https://www.nytimes.com/2018/12/17/us/justice-word-year-merriam-webster.html"
"30","https://www.nytimes.com/2018/12/12/nyregion/michael-cohen-sentence-trump.html"
"31","https://www.nytimes.com/2018/12/03/nyregion/michael-cohen-trump-strategy.html"
"32","https://www.nytimes.com/2018/12/07/opinion/trump-collusion-cohen-manafort.html"
"33","https://www.nytimes.com/2018/12/06/opinion/trump-russia-collusion-mueller.html"
"34","https://www.nytimes.com/2018/12/03/us/politics/trump-cohen-stone-sentence.html"
"35","https://www.nytimes.com/2018/12/11/us/politics/michael-flynn-defense-sentencing-memo.html"
"36","https://www.nytimes.com/2018/12/17/us/politics/flynn-turkey-bijan-kian.html"
"37","https://www.nytimes.com/2018/12/20/world/europe/gatwick-airport-drones.html"
"38","https://www.nytimes.com/2018/12/07/nyregion/michael-cohen-sentence.html"
"39","https://www.nytimes.com/2018/12/21/opinion/william-barr-attorney-general-memo-trump.html"
"40","https://www.nytimes.com/2018/12/03/us/politics/manafort-assange-wikileaks-ecuador.html"
"41","https://www.nytimes.com/2018/12/10/opinion/wisconsin-republicans-democracy.html"
"42","https://www.nytimes.com/2018/12/12/us/politics/giuliani-consulting-abroad.html"
"43","https://www.nytimes.com/2018/12/10/opinion/donald-trump-michael-cohen-favors.html"
"44","https://www.nytimes.com/2018/12/02/opinion/trump-mueller-russia-investigation.html"
"45","https://www.nytimes.com/2018/12/06/opinion/the-argument-trump-russia-collusion-putin-mueller.html"
"46","https://www.nytimes.com/2018/12/01/opinion/sunday/under-trump-the-swamp-is-draining.html"
"47","https://www.nytimes.com/2018/12/17/us/politics/fbi-document-michael-flynn-interview.html"
"48","https://www.nytimes.com/2018/12/04/arts/television/jimmy-fallon-trump-cohen-mueller.html"
"49","https://www.nytimes.com/2018/12/18/us/politics/deep-state-trump-classified-information.html"
"50","https://www.nytimes.com/2018/12/21/t-magazine/gifts-for-people-in-the-news.html"
"51","https://www.nytimes.com/2018/12/02/arts/television/outlander-recap.html"
"52","https://www.nytimes.com/2018/12/20/us/politics/whitaker-trump-mueller-attorney-general.html"
"53","https://www.nytimes.com/2018/12/18/us/politics/michael-flynn-sentencing.html"
"54","https://www.nytimes.com/2018/12/26/opinion/trump-russia-2018.html"
"55","https://www.nytimes.com/2018/12/12/learning/learning-with-prosecutors-effectively-accuse-trump-of-defrauding-voters-what-does-it-mean.html"
"56","https://www.nytimes.com/2018/12/09/nyregion/michael-cohen-sentencing.html"
"57","https://www.nytimes.com/2018/12/13/us/politics/trump-inauguration-investigation.html"
"58","https://www.nytimes.com/2018/12/01/nyregion/michael-cohen-leniency.html"
"59","https://www.nytimes.com/2018/12/10/opinion/william-barr-trump-roy-cohn.html"
"60","https://www.nytimes.com/2018/12/09/us/trump-organization-federal-prosecutors.html"
"61","https://www.nytimes.com/2018/12/12/nyregion/takeaways-michael-cohens-sentencing.html"
"62","https://www.nytimes.com/2018/12/05/arts/television/stephen-colbert-michael-cohen-guilty-pleas.html"
"63","https://www.nytimes.com/2018/11/30/opinion/donald-trump-cohen-mueller-manafort.html"
"64","https://www.nytimes.com/2018/12/07/us/politics/william-barr-attorney-general.html"
"65","https://www.nytimes.com/2018/12/21/opinion/mattis-republicans-congress-trump.html"
"66","https://www.nytimes.com/2018/12/07/opinion/william-barr-attorney-general-trump.html"
"67","https://www.nytimes.com/2018/12/28/us/politics/house-republicans-fbi-trump-investigation.html"
"68","https://www.nytimes.com/2018/12/18/magazine/trump-investigation-democrats-russia.html"
"69","https://www.nytimes.com/2018/12/17/us/politics/russia-2016-influence-campaign.html"
"70","https://www.nytimes.com/2018/12/12/opinion/cohen-sentenced-prison-trump.html"
"71","https://www.nytimes.com/2018/12/24/opinion/trump-mattis-turnover.html"
"72","https://www.nytimes.com/2018/12/17/magazine/democrats-trump-investigation.html"
"73","https://www.nytimes.com/2018/12/01/us/politics/on-politics-the-biggest-stories-of-the-week.html"
"74","https://www.nytimes.com/2018/12/21/briefing/shutdown-jim-mattis-winter-solstice.html"
"75","https://www.nytimes.com/2018/12/14/opinion/trump-butina-cohen-mueller-investigation.html"
"76","https://www.nytimes.com/2018/12/17/opinion/russia-2016-election-influence-trump.html"
"77","https://www.nytimes.com/2018/12/08/us/politics/on-politics-biggest-stories-of-the-week.html"
"78","https://www.nytimes.com/2018/12/03/us/politics/us-china-trade-war.html"
"79","https://www.nytimes.com/2018/12/29/opinion/sunday/trump-presidency-2019-republicans.html"
"80","https://www.nytimes.com/2018/12/02/us/james-comey-hearing-testimony.html"
"81","https://www.nytimes.com/2018/12/09/us/politics/congress-government-shutdown.html"
"82","https://www.nytimes.com/2018/12/08/opinion/sunday/paul-manafort-lies.html"
"83","https://www.nytimes.com/2018/12/20/briefing/shutdown-syria-opiods.html"
"84","https://www.nytimes.com/2018/12/17/us/politics/on-politics-republicans-in-congress-have-a-shutdown-problem.html"
"85","https://www.nytimes.com/2018/12/07/briefing/manafort-china-trade-william-barr.html"
"86","https://www.nytimes.com/2018/12/22/us/politics/trump-two-years.html"
"87","https://www.nytimes.com/2018/12/17/opinion/trump-mueller-investigation.html"
"88","https://www.nytimes.com/2018/12/10/nyregion/ocasio-cortez-jewish.html"
"89","https://www.nytimes.com/2018/12/20/learning/what-is-your-choice-for-word-of-the-year.html"
"90","https://www.nytimes.com/2018/12/16/business/media/national-enquirer-trump-mistresses.html"
"91","https://www.nytimes.com/2018/12/18/opinion/trump-2020-congress-paul-ryan.html"
"92","https://www.nytimes.com/2018/12/02/arts/television/snl-alec-baldwin-george-bush-tribute.html"
"93","https://www.nytimes.com/2018/12/09/briefing/john-f-kelly-paris-grammy-nominations-your-weekend-briefing.html"
"94","https://www.nytimes.com/2018/12/28/opinion/trump-presidency-news-media.html"
"95","https://www.nytimes.com/2018/12/30/opinion/climate-change-weather-2018.html"
"96","https://www.nytimes.com/2018/12/12/world/europe/ukraine-paul-manafort.html"
"97","https://www.nytimes.com/2018/12/24/opinion/trump-economy-stock-market.html"
"98","https://www.nytimes.com/2018/12/18/opinion/editorials/michael-flynn-sentencing.html"
"99","https://www.nytimes.com/2018/12/07/us/politics/trump-barr-kelly.html"
"100","https://www.nytimes.com/2018/12/27/opinion/trump-impeachment-resign-drew.html"
