"","x"
"1","https://www.nytimes.com/video/us/politics/100000006341007/trump-mueller-report-public.html"
"2","https://www.nytimes.com/2019/02/03/us/politics/trump-interview-mueller.html"
"3","https://www.nytimes.com/2019/02/08/us/politics/matthew-whitaker-hearing.html"
"4","https://www.nytimes.com/2019/02/10/us/politics/manafort-mueller-russia-inquiry.html"
"5","https://www.nytimes.com/2019/02/01/world/europe/uk-police-crime-austerity.html"
"6","https://www.nytimes.com/2019/02/14/world/europe/uk-isis-shamima-begum.html"
"7","https://www.nytimes.com/2019/02/15/world/europe/brexit-northern-ireland.html"
"8","https://www.nytimes.com/2019/02/14/world/middleeast/us-syria-troop-withdrawal.html"
"9","https://www.nytimes.com/2019/02/08/us/politics/matthew-whitaker.html"
"10","https://www.nytimes.com/2019/02/14/us/politics/william-barr-confirmed.html"
"11","https://www.nytimes.com/2019/02/10/us/politics/elizabeth-warren-trump-2020.html"
"12","https://www.nytimes.com/2019/01/31/us/politics/trump-wall-investigations-interview.html"
"13","https://www.nytimes.com/2019/02/06/us/politics/trump-pelosi-house-investigations.html"
"14","https://www.nytimes.com/2019/02/13/us/politics/manafort-mueller.html"
"15","https://www.nytimes.com/2019/02/01/us/politics/rod-rosenstein-trump.html"
"16","https://www.nytimes.com/2019/02/07/us/politics/manafort-pardon-russia-inquiry.html"
"17","https://www.nytimes.com/2019/02/12/us/politics/william-barr-attorney-general-confirmation.html"
"18","https://www.nytimes.com/2019/02/07/us/politics/william-barr-confirmation.html"
"19","https://www.nytimes.com/2019/02/13/opinion/letters/paul-manafort-ukraine-donald-trump.html"
"20","https://www.nytimes.com/2019/02/04/us/politics/trump-inaugural-committee-subpoena.html"
"21","https://www.nytimes.com/2019/02/12/us/politics/house-judiciary-committee-trump-investigations.html"
"22","https://www.nytimes.com/2019/02/13/magazine/when-roger-stone-flashed-nixons-v-for-victory.html"
"23","https://www.nytimes.com/2019/02/07/us/politics/matthew-whitaker-hearing.html"
"24","https://www.nytimes.com/2019/02/11/opinion/trump-nra-parkland.html"
"25","https://www.nytimes.com/2019/02/14/us/trump-border-wall-news-today.html"
"26","https://www.nytimes.com/2019/02/05/us/politics/paul-manafort-news-ukraine.html"
"27","https://www.nytimes.com/2019/01/31/us/politics/donald-trump-interview-takeaways.html"
"28","https://www.nytimes.com/2019/02/11/briefing/donald-trump-justin-fairfax-grammy-awards.html"
"29","https://www.nytimes.com/2019/02/15/us/aurora-shooting.html"
"30","https://www.nytimes.com/2019/02/01/us/politics/trump-new-york-times-interview.html"
"31","https://www.nytimes.com/2019/02/05/us/politics/imaad-zuberi-trump-inauguration.html"
"32","https://www.nytimes.com/2019/02/06/arts/television/stephen-colbert-live-state-of-the-union.html"
"33","https://www.nytimes.com/2019/02/14/style/this-is-racist.html"
"34","https://www.nytimes.com/2019/02/10/opinion/trump-putin-inf-treaty.html"
"35","https://www.nytimes.com/2019/02/05/learning/how-would-you-describe-the-state-of-our-union.html"
"36","https://www.nytimes.com/2019/02/01/fashion/roger-stone-courtroom-style.html"
"37","https://www.nytimes.com/2019/02/14/us/politics/mccabe-trump.html"
"38","https://www.nytimes.com/2019/02/06/us/politics/socialism-donald-trump.html"
"39","https://www.nytimes.com/2019/02/13/opinion/trump-2020-us-them.html"
"40","https://www.nytimes.com/2019/02/07/arts/music/grammy-awards-diversity.html"
"41","https://www.nytimes.com/2019/02/01/us/politics/trump-interview-transcripts.html"
"42","https://www.nytimes.com/2019/02/11/briefing/us-congress-dubai-grammys-your-monday-briefing.html"
"43","https://www.nytimes.com/2019/01/31/us/politics/mar-a-lago-trump.html"
"44","https://www.nytimes.com/2019/02/04/briefing/ralph-northam-new-england-patriots-el-salvador.html"
"45","https://www.nytimes.com/2019/02/05/briefing/state-of-the-union-ralph-northam-chinese-new-year.html"
"46","https://www.nytimes.com/2019/01/31/briefing/brexit-trump-serbia-your-friday-briefing.html"
"47","https://www.nytimes.com/2019/02/08/business/media/jeff-bezos-ami-national-enquirer-fight.html"
"48","https://www.nytimes.com/2019/02/03/crosswords/daily-puzzle-2019-02-04.html"
"49","https://www.nytimes.com/2019/02/05/us/politics/trump-state-of-the-union.html"
"50","https://www.nytimes.com/2019/02/04/business/dealbook/tech-chips-slowdown.html"
