"","x"
"1","https://www.nytimes.com/2019/01/16/opinion/letters/william-barr-mueller-trump.html"
"2","https://www.nytimes.com/video/us/politics/100000006307480/william-barr-confirmation-mueller.html"
"3","https://www.nytimes.com/2019/01/15/us/politics/mueller-barr.html"
"4","https://www.nytimes.com/2019/01/04/us/politics/mueller-grand-jury.html"
"5","https://www.nytimes.com/2019/01/18/us/politics/buzzfeed-cohen-russia-tower.html"
"6","https://www.nytimes.com/2019/01/14/us/politics/barr-testimony-mueller.html"
"7","https://www.nytimes.com/2019/01/19/business/media/buzzfeed-news-trump-michael-cohen-mueller.html"
"8","https://www.nytimes.com/2019/01/16/us/politics/mueller-report-release-trump.html"
"9","https://www.nytimes.com/2019/01/18/world/europe/prince-philip-crash.html"
"10","https://www.nytimes.com/2019/01/16/world/europe/brexit-jeremy-corbyn.html"
"11","https://www.nytimes.com/video/us/politics/100000006305441/barr-confirmation-hearing.html"
"12","https://www.nytimes.com/2019/01/10/world/europe/britain-forced-marriage-payment.html"
"13","https://www.nytimes.com/2019/01/02/world/europe/forced-marriage-payment-britain.html"
"14","https://www.nytimes.com/2019/01/08/us/politics/supreme-court-subpoena-mueller.html"
"15","https://www.nytimes.com/2019/01/08/world/europe/heathrow-drone-sighting.html"
"16","https://www.nytimes.com/2019/01/12/opinion/sunday/mueller-barr-rosenstein-confirmation.html"
"17","https://www.nytimes.com/2019/01/16/opinion/william-barr-attorney-general-mueller-kenneth-starr.html"
"18","https://www.nytimes.com/2019/01/09/us/politics/rod-rosenstein-justice-russia-investigation.html"
"19","https://www.nytimes.com/2019/01/20/business/media/buzzfeed-trump-mueller-backlash.html"
"20","https://www.nytimes.com/2019/01/12/us/politics/trump-fbi-counterintelligence-investigation.html"
"21","https://www.nytimes.com/2019/01/17/us/politics/giuliani-collusion.html"
"22","https://www.nytimes.com/2019/01/17/us/politics/skadden-arps-ukraine-lobbying-settlement.html"
"23","https://www.nytimes.com/2019/01/11/us/politics/fbi-trump-russia-inquiry.html"
"24","https://www.nytimes.com/2019/01/08/us/politics/manafort-trump-campaign-data-kilimnik.html"
"25","https://www.nytimes.com/2019/01/14/us/politics/trump-shutdown-border-wall.html"
