"","x"
"1","https://www.nytimes.com/2019/03/09/opinion/sunday/mueller-report-trump-russia-questions.html"
"2","https://static01.nyt.com/slideshow/2019/03/22/us/mueller.html"
"3","https://www.nytimes.com/2019/03/22/opinion/mueller-report-release.html"
"4","https://www.nytimes.com/interactive/2019/03/21/us/the-mueller-report-photos.html"
"5","https://www.nytimes.com/2019/03/22/opinion/mueller-report-news.html"
"6","https://www.nytimes.com/2019/03/22/us/politics/william-barr-bio-facts-history.html"
"7","https://www.nytimes.com/2019/03/22/opinion/trump-mueller-report.html"
"8","https://www.nytimes.com/2019/03/21/opinion/james-comey-mueller-report.html"
"9","https://www.nytimes.com/2019/03/22/us/politics/mueller-report.html"
"10","https://www.nytimes.com/2019/03/07/business/mueller-report-bestseller-amazon.html"
"11","https://www.nytimes.com/2019/03/22/opinion/mueller-report-trump-russia.html"
"12","https://www.nytimes.com/2019/03/22/us/politics/barr-letter-mueller.html"
"13","https://www.nytimes.com/2019/03/12/us/politics/mueller-report-trump-democrats.html"
"14","https://www.nytimes.com/2019/03/22/us/politics/the-mueller-report-release.html"
"15","https://www.nytimes.com/2019/03/22/us/mueller-indictments.html"
"16","https://www.nytimes.com/2019/03/22/podcasts/the-daily/mueller-report-russia-investigation.html"
"17","https://www.nytimes.com/video/us/politics/100000006422957/who-is-william-barr.html"
"18","https://www.nytimes.com/video/us/politics/100000006381390/robert-mueller-report-background.html"
"19","https://www.nytimes.com/2019/03/22/us/politics/trump-russia.html"
"20","https://www.nytimes.com/2019/03/07/opinion/mueller-report-trump-barr.html"
"21","https://www.nytimes.com/aponline/2019/03/22/us/politics/ap-us-trump-russia-probe-next-steps.html"
"22","https://www.nytimes.com/2019/03/22/opinion/letters/trump-comey-mueller.html"
"23","https://www.nytimes.com/aponline/2019/03/19/us/politics/ap-us-mueller-role-reversal.html"
"24","https://www.nytimes.com/aponline/2019/03/22/us/politics/ap-us-trump-russia-probe-mueller-the-latest.html"
"25","https://www.nytimes.com/aponline/2019/03/22/us/politics/ap-us-trump-russia-probe-mueller.html"
"26","https://www.nytimes.com/aponline/2019/03/21/us/politics/ap-us-trump-russia-probe-qa.html"
"27","https://www.nytimes.com/aponline/2019/03/22/us/politics/ap-us-trump-russia-probe-.html"
"28","https://www.nytimes.com/aponline/2019/03/20/us/ap-us-trump-russia-probe-mueller-devotees.html"
"29","https://www.nytimes.com/2019/03/14/us/politics/andrew-weissmann-mueller.html"
"30","https://www.nytimes.com/2019/03/14/us/politics/mueller-report-public.html"
"31","https://www.nytimes.com/2019/03/20/us/mueller-report-release.html"
"32","https://www.nytimes.com/2019/03/22/books/booksupdate/what-to-read-mueller-report.html"
"33","https://www.nytimes.com/aponline/2019/03/20/us/politics/ap-us-trump-russia.html"
"34","https://www.nytimes.com/aponline/2019/03/19/us/politics/ap-us-trump-russia-probe.html"
"35","https://www.nytimes.com/2019/03/04/podcasts/the-daily/mueller-report-russia-investigation-trump.html"
"36","https://www.nytimes.com/2019/03/22/us/politics/donald-trump-mueller-report.html"
"37","https://www.nytimes.com/reuters/2019/03/22/world/europe/22reuters-usa-trump-russia-letter.html"
"38","https://www.nytimes.com/aponline/2019/03/22/us/ap-us-trump-russia-probe-text.html"
"39","https://www.nytimes.com/2019/03/01/opinion/sunday/mueller-report.html"
"40","https://www.nytimes.com/reuters/2019/03/22/world/europe/22reuters-usa-trump-russia.html"
"41","https://www.nytimes.com/2019/03/12/podcasts/the-daily/nadler-mueller-trump-democrats.html"
"42","https://www.nytimes.com/2019/03/22/us/politics/will-mueller-report-be-made-public.html"
"43","https://www.nytimes.com/2019/03/08/reader-center/russia-investigation-reporting.html"
"44","https://www.nytimes.com/aponline/2019/03/21/us/politics/ap-us-trump-fact-check.html"
"45","https://www.nytimes.com/reuters/2019/03/22/us/politics/22reuters-usa-trump-russia-secrecy.html"
"46","https://www.nytimes.com/2019/03/22/us/politics/when-will-mueller-report-come-out.html"
"47","https://www.nytimes.com/2019/03/11/podcasts/the-daily/mueller-report-russia-investigation-trump.html"
"48","https://www.nytimes.com/reuters/2019/03/15/world/europe/15reuters-usa-trump-russia-gates.html"
"49","https://www.nytimes.com/reuters/2019/03/22/world/europe/22reuters-usa-trump-russia-timeline.html"
"50","https://www.nytimes.com/2019/03/22/business/media/cnn-mueller-fox-msnbc.html"
